'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'10,'Text 57,"'Fig. 4: Secondary efficacy outcomes: (A) Proportion of patients with clinical and endoscopic response⁺ to multimatrix mesalamine at Week 26 in the DBM phase; (B) LS mean (SEM) change from baseline in DUCS score at Week 8 and Week 26*; and (C) Proportion of patients with PUCAI improvement (Week 8) and remission (Week 26)*. CI = confidence interval; DBA = double-blind acute; DBM = double- blind maintenance; DUCS = Daily Ulcerative Colitis Scale; LS = least-squares; PUCAI = Pediatric Ulcerative Colitis Activity Index; SEM = standard error of the mean. *Difference between the low-dose and high-dose multimatrix mesalamine treatment groups. Both central and local reading values in panel (A) are for the DBM phase. Patients who did not have an endoscopy performed were excluded from the analysis of endoscopic remission. At Week 26, 33 patients receiving low-dose and 33 patients receiving high-dose multimatrix mesalamine had an endoscopy performed.",'110,'97.16796875
'10,'Page number 10,"'10",'111,'94.77539063
'10,'Footer 11,"'www.thelancet.com Vol 65 November, 2023",'112,'81.83593750
'11,'Header 6,"'Articles",'113,'55.17578125
'11,'Table 4,"",'114,'71.63085938
'11,'Table 5,"",'115,'91.25976563
'11,'Text 58,"'similar rates of clinical and endoscopic response in low- dose and high-dose groups at Week 26. Discordance in results based on central VS local reading for the low-dose group may have been due to inter-reader variability in local reads.",'116,'93.99414063
'11,'Text 59,"'DUCS and PUCAI were utilised in this study to assess disease activity and symptom burden in paedi- atric patients with mild-to-moderate UC. Although the DUCS instrument is similar to the PUCAI instrument, PUCAI is reported by clinicians whereas DUCS is based on an electronic diary for daily signs and symptoms that is completed by paediatric patients or, for younger pa- tients, their caregivers. 19,20 The LS mean change from baseline in DUCS showed similar responses for the low- dose VS high-dose groups for both the DBA and DBM phases. Similar to the clinical response rates, a numer- ically higher proportion of patients in the high-dose group (61.5%) vs the low-dose group (37.0%) showed an improvement in the PUCAI score at Week 8 in the DBA phase; in the DBM phase, similar proportions of",'117,'94.23828125
'11,'Text 60,"'patients in each treatment group (high-dose, 60.0%; low- dose, 69.0%) had PUCAI scores indicating remission at Week 26. As the psychometric properties of DUCS have not been established, DUCS results are for exploratory and illustrative purposes only.¹⁹ Furthermore, despite the subjective nature of PGA, its inclusion in the com- posite scoring system was likely driven by the strong correlation between PUCAI scores and PGA in evalu- ating disease activity, as well as the PUCAI score's high predictability in determining the need for escalated medical therapy.2¹ It is also noteworthy that at the time of the study, there was limited evidence and expertise regarding alternative scoring systems. Comparisons between clinical studies should be approached with caution owing to differences in patient populations, study designs, and methods; however, similar efficacy results were also observed in previous studies. In a randomised phase 4 study of once-daily VS twice-daily mesalamine induction in paediatric patients with mild-to-moderate UC, a response rate of 60% and a",'118,'70.01953125
'11,'Footer 12,"'www.thelancet.com Vol 65 November, 2023",'119,'89.50195313
'11,'Page number 11,"'11",'120,'91.60156250
'12,'Title 7,"'Articles",'121,'45.14160156
'12,'Text 61,"'remission rate of 30% were observed at Week 6 with once-daily dosing.¹⁴ In a pooled analysis of two phase 3 studies of multimatrix mesalamine induction in adult patients with mild-to-moderate UC, the remission rate at Week 8 was 37.2% in patients receiving a dose of 2.4 g/d and 35.1% in those receiving a dose of 4.8 g/d.¹⁸ Additionally, in a phase 4 study of clinical recurrence in adult patients with quiescent UC treated with multi- matrix mesalamine, 76.5% and 64.4% of patients remained recurrence free at Months 6 and 12, respec- tively, of the maintenance phase. 16",'122,'60.30273438
'12,'Text 62,"'The tolerability of multimatrix mesalamine in pae- diatric patients with UC was first demonstrated in a phase 1 study wherein 52 patients received once-daily multimatrix mesalamine for 7 days.² In that study, all TEAEs were mild-to-moderate; no serious or fatal TEAEs or TEAEs leading to treatment discontinuation were observed. In the current study, TEAEs were mostly gastrointestinal disorders, which is expected in this study population, and most TEAEs were of mild or moderate severity. Most TEAEs that occurred in this study were consistent with the known safety profile for multimatrix mesalamine.²",'123,'47.65625000
'12,'Text 63,"'Compliance with 5-ASA therapy is an important factor in the successful control of UC.24 Compliance rates in the DBA and DBM phases were high and comparable with those observed in previous studies of induction and maintenance with multimatrix mesal- amine, 17,25 as well as with previous studies that used once-daily and twice-daily oral mesalamine dosing in paediatric patients. 14,26 The compliance rate in the OLA phase of this study was lower than that of the DBA and DBM phases, which may be due to the higher propor- tion of younger patients aged 5-13 years in the OLA phase (50.0%) vs the DBA (37.7%) and DBM phases (29.9%).",'124,'75.63476563
'12,'Text 64,"'The main limitation of this study was that it was not powered to detect differences between treatment groups, as it was an estimation study with no formal hypothesis testing. Instead, the objective of this study, conducted in collaboration with the US FDA, was to estimate clinical response of two doses (low and high) of multimatrix mesalamine across a range of weight groups in children and adolescents. The sample size was selected based on practical considerations and agreement with the US FDA, where more than 100 patients were to be screened and up to 80 patients were to be enrolled in the DBA phase. However, the sample size for the DBA phase was reduced to 53 patients owing to difficulties with recruitment. Because of these challenges, the study was terminated to meet regulatory commitments to health agencies and to provide, in a timely manner, important safety and efficacy data for this unmet need in paediatric patients with UC. Furthermore, the considerable delay in publishing the study outcomes may be attributed to several factors including challenges in patient recruitment, takeover of",'125,'94.14062500
'12,'Text 65,"'companies involved in the study, the demanding schedules of the investigators, and disruptions caused by the COVID-19 pandemic.",'126,'83.20312500
'12,'Text 66,"'In conclusion, high-dose multimatrix mesalamine achieved a higher clinical response rate than low-dose multimatrix mesalamine in the DBA phase of this study. In the DBM phase, similar proportions of pa- tients in both treatment groups maintained clinical response; however, the proportion of patients who maintained clinical response was slightly higher in the low-dose group. The benefit-risk profile of multimatrix mesalamine in paediatric patients was favourable and comparable with that seen in the adult population in clinical studies.",'127,'95.45898438
'12,'Section header 16,"'Contributors",'128,'96.14257813
'12,'Text 67,"'NMC contributed to the design of the study and the collection and interpretation of the data. BK contributed to the collection, analysis, and interpretation of the data. JK contributed to the collection, analysis, and interpretation of the data. BC contributed to the collection, analysis, and interpretation of the data. MKT contributed to the conception and design of the study and the analysis of the data. All authors drafted and revised the article critically for important intellectual content and approved the final version of the article, including the authorship list. All authors had full access to all the data in the study and accept re- sponsibility for the decision to submit for publication. Authors MKT and NMC have verified the underlying data.",'129,'98.04687500
'12,'Section header 17,"'Data sharing statement",'130,'96.24023438
'12,'Text 68,"'The datasets, including the redacted study protocol, redacted statistical analysis plan, and individual participant data supporting the results re- ported in this article, will be available to researchers who provide a methodologically sound proposal. The data will be provided after de- identification, in compliance with applicable privacy laws, data protec- tion, and requirements for consent and anonymisation. To request ac- cess to data, the corresponding author may be contacted.",'131,'98.43750000
'12,'Section header 18,"'Declaration of interests",'132,'96.43554688
'12,'Text 69,"'NMC (into employer's investigator accounts) received speaker fees, advisory board fees, and research funding from Eli Lilly, Takeda, Abb- Vie, Shire, Pfizer, Roche, Celgene, and 4D Pharma. BK received a grant from Shire for the study research conducted. JK (into employer's investigator accounts) received speaker fees, advisory board fees, and research funding from Eli Lilly, Celltrion, and Nestlé. BC was an employee of Takeda at the time the study was conducted. MKT is an employee of Takeda and received no specific funding for this work.",'133,'98.19335938
'12,'Section header 19,"'Acknowledgements",'134,'96.82617188
'12,'Text 70,"'The authors thank all the children who participated in this study and their parents. This study was funded by Shire Development LLC, a Takeda company. Medical writing and editorial support for an earlier draft of the manuscript were provided by Cello Health Communica- tions/MedErgy and were funded by Shire Development LLC, a Takeda company. Medical writing and editorial support was provided by Neha Shrestha, PhD, of Cactus Life Sciences (part of Cactus Communica- tions) and funded by Takeda Pharmaceuticals.",'135,'98.29101563
'12,'Section header 20,"'Appendix A. Supplementary data",'136,'93.35937500
'12,'Text 71,"'Supplementary data related to this article can be found at https://doi. org/10.1016/j.eclinm.2023.102232",'137,'97.46093750
'12,'Section header 21,"'References",'138,'83.64257813
'12,'Text 72,"'1 da Silva BC, Lyra AC, Rocha R, Santana GO. Epidemiology, de- mographic characteristics and prognostic predictors of ulcerative colitis. World J Gastroenterol. 2014;20:9458-9467.",'139,'85.35156250
'12,'Page number 12,"'12",'140,'94.58007813
'12,'Footer 13,"'www.thelancet.com Vol 65 November, 2023",'141,'74.85351563
'13,'Header 7,"'Articles",'142,'48.04687500
'13,'List 1,"",'143,'85.83984375
'13,'Text 73 - Part of List 1,"'2 Langholz E, Munkholm P, Davidsen M, Binder V. Course of ul- cerative colitis: analysis of changes in disease activity over years. Gastroenterology. 1994;107:3-11.",'144,'97.36328125
'13,'Text 74 - Part of List 1,"'3 Benchimol EI, Fortinsky KJ, Gozdyra P, Van den Heuvel M, Van Limbergen J, Griffiths AM. Epidemiology of pediatric inflammatory bowel disease: a systematic review of international trends. Inflamm Bowel Dis. 2011;17:423-439.",'145,'97.80273438
'13,'Text 75 - Part of List 1,"'4 Turner D, Levine A, Escher JC, et al. Management of pediatric ul- cerative colitis: joint ECCO and ESPGHAN evidence-based consensus guidelines. J Pediatr Gastroenterol Nutr. 2012;55:340-361.",'146,'96.72851563
'13,'Text 76 - Part of List 1,"'5 Jakobsen C, Bartek J Jr, Wewer V, et al. Differences in phenotype and disease course in adult and paediatric inflammatory bowel disease - a population-based study. Aliment Pharmacol Ther. 2011;34:1217-1224.",'147,'97.41210938
'13,'Text 77 - Part of List 1,"'6 Van Limbergen J, Russell RK, Drummond HE, et al. Definition of phenotypic characteristics of childhood-onset inflammatory bowel disease. Gastroenterology. 2008;135:1114-1122.",'148,'97.21679688
'13,'Text 78 - Part of List 1,"'7 Turner D, Walsh CM, Benchimol EI, et al. Severe paediatric ul- cerative colitis: incidence, outcomes and optimal timing for second- line therapy. Gut. 2008;57:331-338.",'149,'97.75390625
'13,'Text 79 - Part of List 1,"'8 Dinesen LC, Walsh AJ, Protic MN, et al. The pattern and outcome of acute severe colitis. J Crohns Colitis. 2010;4:431-437.",'150,'97.26562500
'13,'Text 80 - Part of List 1,"'9 Gower-Rousseau C, Dauchet L, Vernier-Massouille G, et al. The natural history of pediatric ulcerative colitis: a population-based cohort study. Am J Gastroenterol. 2009;104:2080-2088.",'151,'97.55859375
'13,'Text 81 - Part of List 1,"'10 Turner D, Ruemmele FM, Orlanski-Meyer E, et al. Management of paediatric ulcerative colitis, part 1: ambulatory care-an evidence- based guideline from European Crohn's and Colitis Organization and European Society of Paediatric Gastroenterology, Hepatology and Nutrition. J Pediatr Gastroenterol Nutr. 2018;67:257-291.",'152,'97.80273438
'13,'Text 82 - Part of List 1,"'11 Harbord M, Eliakim R, Bettenworth D, et al. Third European evidence-based consensus on diagnosis and management of ul- cerative colitis. Part 2: current management. J Crohns Colitis. 2017;11:769-784.",'153,'97.94921875
'13,'Text 83 - Part of List 1,"'12 Rubin DT, Ananthakrishnan AN, Siegel CA, Sauer BG, Long MD. ACG clinical guideline: ulcerative colitis in adults. Am J Gastro- enterol. 2019;114:384-413.",'154,'97.55859375
'13,'Text 84 - Part of List 1,"'13 Fell JM, Muhammed R, Spray C, Crook K, Russell RK. Manage- ment of ulcerative colitis. Arch Dis Child. 2016;101:469-474.",'155,'97.80273438
'13,'Text 85 - Part of List 1,"'14 Turner D, Yerushalmi B, Kori M, et al. Once- versus twice-daily mesalazine to induce remission in paediatric ulcerative colitis: a randomised controlled trial. J Crohns Colitis. 2017;11:527-533.",'156,'97.80273438
'13,'Text 86 - Part of List 1,"'15 D'Haens G, Sandborn WJ, Barrett K, Hodgson I, Streck P. Once- daily MMX® mesalamine for endoscopic maintenance of remis- sion of ulcerative colitis. Am J Gastroenterol. 2012;107:1064-1077.",'157,'97.80273438
'13,'Text 87 - Part of List 1,"'16 Kane S, Katz S, Jamal MM, et al. Strategies in maintenance for patients receiving long-term therapy (SIMPLE): a study of MMX mesalamine for the long-term maintenance of quiescent ulcerative colitis. Inflamm Bowel Dis. 2012;18:1026-1033.",'158,'98.43750000
'13,'Text 88 - Part of List 1,"'17 Sandborn WJ, Kamm MA, Lichtenstein GR, Lyne A, Butler T, Joseph RE. MMX Multi Matrix System mesalazine for the in- duction of remission in patients with mild-to-moderate ulcerative colitis: a combined analysis of two randomized, double-blind, pla- cebo-controlled trials. Aliment Pharmacol Ther. 2007;26:205-215.",'159,'98.48632813
'13,'Text 89 - Part of List 1,"'18 Da Silva Sanchez S, Wan H, Streck P, Willshire D, Raskin JB. Pooled safety analysis of long-term, once-daily multimatrix mesa- lazine use. J Crohns Colitis. 2015;9:S349. Abstract P538.",'160,'98.04687500
'13,'Text 90 - Part of List 1,"'19 Flood E, Silberg DG, Romero B, Beusterien K, Erder MH, Cuffari C. Development of the pediatric daily ulcerative colitis signs and symptoms scale (DUCS): qualitative research findings. BMC Res Notes. 2017;10:491.",'161,'98.09570313
'13,'Text 91 - Part of List 1,"'20 Turner D, Otley AR, Mack D, et al. Development, validation, and evaluation of a pediatric ulcerative colitis activity index: a prospec- tive multicenter study. Gastroenterology. 2007;133:423-432.",'162,'97.80273438
'13,'Text 92 - Part of List 1,"'21 Turner D, Hyams J, Markowitz J, et al. Appraisal of the pediatric ulcerative colitis activity index (PUCAI). Inflamm Bowel Dis. 2009;15:1218-1223.",'163,'97.36328125
'13,'Text 93 - Part of List 1,"'22 Cuffari C, Pierce D, Korczowski B, et al. Randomized clinical trial: pharmacokinetics and safety of multimatrix mesalamine for treat- ment of pediatric ulcerative colitis. Drug Des Devel Ther. 2016;10:593-607.",'164,'97.02148438
'13,'Text 94 - Part of List 1,"'23 LIALDA® (mesalamine) delayed-release tablets, for oral use [package insert]. Wayne, PA: Shire US Inc.; 2021. Available from: https:// www.accessdata.fda.gov/drugsatfda_docs/label/2021/ 022000s023lbl.pd Accessed March 9, 2023.",'165,'96.04492188
'13,'Text 95 - Part of List 1,"'24 Kane SV. Systematic review: adherence issues in the treatment of ulcerative colitis. Aliment Pharmacol Ther. 2006;23:577-585.",'166,'96.09375000
'13,'Text 96 - Part of List 1,"'25 Kamm MA, Lichtenstein GR, Sandborn WJ, et al. Randomised trial of once- or twice-daily MMX mesalazine for maintenance of remission in ulcerative colitis. Gut. 2008;57:893-902.",'167,'97.46093750
'13,'Text 97 - Part of List 1,"'26 Winter HS, Krzeski P, Heyman MB, et al. High- and low-dose oral delayed-release mesalamine in children with mild-to-moderately active ulcerative colitis. J Pediatr Gastroenterol Nutr. 2014;59:767- 772.",'168,'96.33789063
'13,'Footer 14,"'www.thelancet.com Vol 65 November, 2023",'169,'92.23632813
'13,'Page number 13,"'13",'170,'84.81445313
