'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'15,'Text 148,"'At week 0 of maintenance, patients on corticosteroid therapy were required to taper their dose to completion by maintenance week 8, with the recommended tapering schedule provided on the next page. All efficacy measurements at or after initiating and/or increasing doses of any corticosteroids were excluded. Starting at week 16, patients who demonstrated inadequate response (based upon increased symptom activity and/or endoscopic confirmation of inflammation) could receive open-label risankizumab rescue therapy (ie, one single dose of risankizumab 1200 mg followed by 360 mg SC maintenance regimen, which was delivered as 4 injections [90 mg SC] every 8 weeks thereafter). Patients could receive up to 2 rescue doses. Patients taking corticosteroids at week 0 who had a loss of satisfactory clinical response per the investigator's judgment after the steroid taper had been initiated could have their corticosteroid dose increased up to the dose used at baseline of maintenance per the investigator's discretion. Patients taking oral budesonide multi-matrix system formulation or oral beclomethasone were required to discontinue medication without a taper.",'176,'94.82421875
'15,'Footer 14,"'© 2024 American Medical Association. All rights reserved.",'177,'83.00781250
'16,'Text 149,"'Recommended Tapering Schedule for the Maintenance Study",'178,'37.47558594
'16,'Table 1,"",'179,'95.94726563
'16,'Section header 7,"'Endpoint Definitions for Primary and Secondary Outcomes for Phase 3 Induction and Maintenance",'180,'62.50000000
'16,'Text 150,"'Clinical Endpoints",'181,'45.04394531
'16,'List 9,"",'182,'93.79882813
'16,'Text 151 - Part of List 9,"'Adapted Mayo score (score range 0-9): RBS, 0-3; stool frequency score (SFS, 0-3); endoscopy score (0-3). Higher scores indicate more severe disease.",'183,'97.02148438
'16,'Text 152 - Part of List 9,"'Partial Adapted Mayo score (score range 0-6): RBS (0-3); SFS (0-3). Higher scores indicate more severe disease.",'184,'97.36328125
'16,'Section header 8,"'Patient-Reported Outcomes",'185,'53.90625000
'16,'List 10,"",'186,'87.79296875
'16,'Text 153 - Part of List 10,"'Abdominal pain score: Abdominal pain was assessed using a 4-point scale (0 = none, 1 = mild, 2 = moderate, 3 = severe) to evaluate symptom frequency and severity over time. The mean of the scores from the most recent 3 days, and up to 10 days, prior to each study visit was calculated.",'187,'96.67968750
'16,'Text 154 - Part of List 10,"'Bowel urgency, nocturnal bowel movements, or tenesmus: Each of these symptoms were scored independently as categorical (dichotomous) variables with 2 response options, where the response option ""Yes"" meant the respondent did experience the symptom within the past 24 hours and the response option ""No"" meant the respondent did not experience the symptom within the past 24 hours. For computing affected days with symptom, daily responses of ""No"" were coded as 0 and ""Yes"" were coded as 1. Scores were determined by",'188,'95.65429688
'16,'Footer 15,"'© 2024 American Medical Association. All rights reserved.",'189,'72.11914063
'17,'Text 155,"'calculating the sum of the numeric values over the 3 days, and up to 10 days, prior to each study visit. If scores for fewer than 3 days in the 10 days prior to the study visit were available, then score was set to missing for that visit.",'190,'98.87695313
'17,'List 11,"",'191,'93.70117188
'17,'Text 156 - Part of List 11,"'Sleep interruption: Sleep interruption scoring quantified the number of nights with sleep interruption due to ulcerative colitis symptoms in the most recent week (i.e., 7 days) prior to each study visit. If patients answered ""Yes"" and ""due to ulcerative colitis symptoms"", they received a score of 1 for that day; otherwise, patients received a score of 0. Scores were determined by calculating the mean of the numeric values (0 for no sleep interruption due to ulcerative colitis symptoms, and 1 for sleep interruption due to ulcerative colitis symptoms) over the most recent week (i.e., 7 days) and then multiplying the result by 7; therefore, scores ranged between 0 and 7 for each study visit.",'192,'98.53515625
'17,'Text 157 - Part of List 11,"'Fecal incontinence: Fecal incontinence scoring quantified the number of weekly episodes of accidental bowel leakage (e.g. accidental soiling of underwear) prior to each study visit. Scores were determined by calculating the mean of the number of fecal incontinence episodes over the most recent week (i.e., 7 days) prior to a study visit and then multiplying by 7.",'193,'96.43554688
'17,'Section header 9,"'Definitions for Study Endpoints in Both Induction and Maintenance",'194,'79.10156250
'17,'List 12,"",'195,'90.42968750
'17,'Text 158 - Part of List 12,"'Clinical remission per Adapted Mayo score: SFS ≤ 1, and not greater than baseline, RBS of 0, and endoscopic subscore ≤ 1.",'196,'96.33789063
'17,'Text 159 - Part of List 12,"'Clinical response per Adapted Mayo score: Decrease from baseline ≥ 2 points and ≥ 30%, in addition to a decrease in RBS ≥ 1 or an absolute RBS ≤ 1.",'197,'96.48437500
'17,'Text 160 - Part of List 12,"'Clinical response per Partial Adapted Mayo score: Decrease from baseline ≥ 1 point and ≥ 30%, in addition to a decrease in RBS ≥ 1 or an absolute RBS ≤ 1.",'198,'95.84960938
'17,'Text 161 - Part of List 12,"'Endoscopic improvement: Endoscopic subscore ≤ 1 without the evidence of friability.",'199,'95.41015625
'17,'Text 162 - Part of List 12,"'Endoscopic remission: Endoscopic subscore of 0.",'200,'95.45898438
'17,'Footer 16,"'© 2024 American Medical Association. All rights reserved.",'201,'68.40820313
'18,'List 13,"",'202,'97.16796875
'18,'Text 163 - Part of List 13,"'Histological endoscopic mucosal improvement (HEMI): Endoscopic subscore of 0 or 1 without evidence of friability and Geboes score ≤ 3.1.",'203,'98.09570313
'18,'Text 164 - Part of List 13,"'HEMR: Endoscopic subscore of 0 and Geboes score < 2.0.",'204,'97.16796875
'18,'Text 165 - Part of List 13,"'Histologic remission: Geboes score of < 2.0.",'205,'96.43554688
'18,'Text 166 - Part of List 13,"'No bowel urgency: A mean score of 0 denoting the absence of symptoms for the 3 most recent days prior to each study visit.",'206,'94.67773438
'18,'Text 167 - Part of List 13,"'No abdominal pain: A mean score of 0 denoting the absence of symptoms for the 3 most recent days prior to each study visit.",'207,'93.94531250
'18,'Text 168 - Part of List 13,"'No nocturnal bowel movements: A mean score of 0 denoting the absence of symptoms for the 3 most recent days prior to each study visit.",'208,'94.58007813
'18,'Text 169 - Part of List 13,"'No tenesmus: A mean score of 0 denoting the absence of symptoms for the 3 most recent days prior to each study visit.",'209,'91.60156250
'18,'Text 170 - Part of List 13,"'For all patient-reported outcomes (no bowel urgency, no abdominal pain, no nocturnal bowel movements, no tenesmus), the 3 most recent days should not include the day prior to endoscopy, the day the subject underwent endoscopy, and 2 days following the endoscopy. Earlier diary entries will be used accordingly in order to provide the most recent data for 3 days prior to the respective study visit.",'210,'94.92187500
'18,'Text 171,"'Health-Related Quality of Life (HRQOL) Endpoints",'211,'45.33691406
'18,'List 14,"",'212,'94.14062500
'18,'Text 172 - Part of List 14,"'Functional Assessment of Chronic Illness Therapy-Fatigue (FACIT-F): A 13-item assessment of fatigue associated with disease and how it impacts daily activities and function. Lower scores indicate greater fatigue.",'213,'97.90039063
'18,'Text 173 - Part of List 14,"'Inflammatory Bowel Disease Questionnaire (IBDQ): This questionnaire consists of 32 questions divided into 4 dimensions: bowel symptoms, systemic symptoms, emotional function, and social function. The total score ranges from 32 to 224, with higher scores representing better quality of life.",'214,'97.21679688
'18,'Footer 17,"'© 2024 American Medical Association. All rights reserved.",'215,'79.29687500
'19,'Section header 10,"'Definitions for Study Endpoints in Maintenance Only",'216,'85.69335938
'19,'List 15,"",'217,'96.58203125
'19,'Text 174 - Part of List 15,"'Corticosteroid-free clinical remission: Clinical remission per Adapted Mayo score at week 52 in patients who abstained from corticosteroid use for 90 days.",'218,'95.89843750
'19,'Text 175 - Part of List 15,"'Maintenance of clinical remission: Achievement of clinical remission per Adapted Mayo score at week 52 in patients with clinical remission at baseline of maintenance.",'219,'97.16796875
'19,'Text 176 - Part of List 15,"'Maintenance of endoscopic improvement: Achievement of endoscopic improvement at week 52 in patients with endoscopic improvement at baseline of maintenance.",'220,'96.14257813
'19,'Section header 11,"'Statistical Analysis for IL-22",'221,'78.61328125
'19,'Text 177,"'An MMRM analysis was conducted on the log2 transformed biomarker values. In the mixed model, the outcome variable was the change from baseline of the log2 transformed values. Baseline biomarker values were adjusted by including log2 (baseline) as a covariate. Treatment, time, and treatment by time were fixed effects; and patient was a random effect. Least square mean estimates for treatment by time combinations from the mixed model were used for reporting and comparisons. The least-square means of the change in the log scale were back-transformed to the original scale, which gave a percent change from the baseline. Change from baseline comparisons within the treatment group were made at weeks 4, 12, and 52, and Bonferroni adjusted P values were calculated.",'222,'95.11718750
'19,'Section header 12,"'Pharmacokinetics and Immunogenicity Assessments",'223,'84.47265625
'19,'Text 178,"'Risankizumab serum levels were measured every 4 weeks, from week 4 through week 12 during induction, and for maintenance every 16 weeks through week 48, with a final measurement 4 weeks later at week 52; serum anti-drug antibodies including neutralizing antibodies were measured according to the same schedule as risankizumab but also included induction baseline prior to risankizumab treatment. Assay methods have been previously described.³",'224,'95.45898438
'19,'Footer 18,"'© 2024 American Medical Association. All rights reserved.",'225,'53.61328125
'20,'Section header 13,"'Safety Outcomes",'226,'79.58984375
'20,'Text 179,"'Adverse events were coded with the Medical Dictionary for Regulatory Activities (MedDRA), version 25.1. The severity of adverse events and laboratory abnormalities was graded with the Common Terminology Criteria for Adverse Events, version 4.03. Major adverse cardiovascular events (MACE) and anaphylactic reactions were adjudicated by external independent adjudication committees. An external data monitoring committee (DMC), independent of the sponsor and with relevant expertise in their field, reviewed unblinded safety data from the studies according to the DMC Charter.",'227,'98.73046875
'20,'Section header 14,"'Additional Statistical Analysis For Induction and Maintenance",'228,'89.06250000
'20,'Text 180,"'Overall Type I Error Control",'229,'83.64257813
'20,'Text 181,"'The overall type I error rate for the primary and secondary endpoints for the double-blind, phase 3 induction period was controlled using a graphical multiple-testing procedure (eFigure 4). The primary endpoint was tested at the prespecified significance level of 0.05 (2-sided). The secondary efficacy endpoints were divided into 2 groups (eFigure 4). The first group included the first 10 secondary endpoints. The second group included all the remaining 5 secondary endpoints which were tested using the Holm procedure. If the primary endpoint achieved statistical significance, continued testing followed a prespecified weight of a allocation (eFigure 4). In the graph, the arrows specify the weight of a allocation between nodes. Once a hypothesis was rejected (ie, deemed the endpoint is significant) at its assigned significance level, its significance level was allocated to the subsequent node. If more than one arrow originates from a node, the significance level was split between multiple subsequent nodes following the prespecified weight. The numbers on the arrows denote the weights. For example, weight 1 denotes 100% transfer of significance level to the next node, and the weight ε denotes 0.02% of the overall significance level (corresponding to a of 0.02% X 0.05 = 0.00001) to be transferred.",'230,'95.65429688
'20,'Footer 19,"'© 2024 American Medical Association. All rights reserved.",'231,'81.34765625
'21,'Text 182,"'For maintenance, the graphical testing procedure was similar to that performed for induction, with testing for the primary endpoint beginning at the prespecified significance level of 0.025 (2-sided) for each risankizumab dose group compared with placebo. If the primary endpoint achieved statistical significance, testing was continued following a prespecified weight of a allocation. In eFigure 5, the arrows specify weight of a allocation between nodes. Once a hypothesis was rejected (ie, deemed the endpoint significant) at its assigned significance level, the significance was allocated to the subsequent node. If more than one arrow originates from a node, the significance level will be split between multiple subsequent nodes following the prespecified weight. The numbers on the arrows denote the weights. For example, weight 1 denotes 100% transfer of significance level to the next node, and the weight ε denotes 0.04% of the overall significance level each dose starts with (corresponding to a of 0.04% X 0.025=0.00001) to be transferred. No type I error control was applied to the additional nonranked efficacy endpoints. The analysis for additional efficacy endpoints was performed at the nominal a level of 0.05 (two-sided) for each dose.",'232,'44.55566406
'21,'Footer 20,"'© 2024 American Medical Association. All rights reserved.",'233,'76.70898438
'22,'Text 183,"'eFigure 1. Key Study Design Features and Trial Profile of Induction and Maintenance Studies",'234,'56.49414063
'22,'Figure 1,"",'235,'90.28320313
'22,'Text 184,"'The phase 3 induction and maintenance studies lasted up to 81 weeks and included a screening period that lasted up to 5 weeks, a 12-week double-blind induction period (substudy 2), and a 52-week maintenance period. ᵃRandomization for induction was stratified by the presence of baseline corticosteroid use (yes, no), baseline Adapted Mayo score (≤7, >7), and number of prior failed advanced therapies (0, 1, > 1). ᵇThe primary efficacy analysis population for phase 3 induction substudy 2 included all randomized patients who received at least one dose of study drug during the first 12-week, double-blind induction period.",'236,'49.80468750
'22,'Footer 21,"'© 2024 American Medical Association. All rights reserved.",'237,'79.05273438
'23,'Text 185,"'ᶜClinical responders after 12 weeks of risankizumab IV were randomized to the primary efficacy population of maintenance. Patients who did not achieve a clinical response could receive an additional 12 weeks of risankizumab therapy during the induction extended treatment period (not shown). Patients who were placebo nonresponders after 12 weeks who then received and responded to risankizumab 1200 mg or 1800 mg at 24 weeks were included in the rerandomization into maintenance (not shown).",'238,'95.99609375
'23,'Text 186,"'Randomization was stratified by history of advanced therapy failure (yes, no), last risankizumab induction dose (600 mg, 1200 mg, 1800 mg), and clinical remission status (per local evaluation) at the last visit of induction (yes, no).",'239,'87.54882813
'23,'Text 187,"'eThe primary efficacy analysis population for maintenance included patients who achieved a clinical response per Adapted Mayo score after 12 weeks of risankizumab IV during the phase 2b dose-ranging substudy (600 mg, 1200 mg, 1800 mg), phase 2b open-label period (1800 mg), or phase 3 induction (1200 mg).",'240,'86.66992188
'23,'Text 188,"'Patients who experienced inadequate response were eligible for risankizumab rescue therapy starting at week 16 of maintenance (one dose of 1200 mg or 1800 mg followed by 360 mg every 8 weeks). Loss of response or inadequate response was based on clinical and endoscopic",'241,'61.66992188
'23,'Text 189,"'symptoms (RBS at least 1 point greater than the week 0 value or endoscopic subscore of 2 or 3).",'242,'38.67187500
'23,'Text 190,"'IV, intravenous; PBO, placebo; RBS, rectal bleeding score; RZB, risankizumab; SC, subcutaneous; WD, placebo (withdrawal)",'243,'72.31445313
'23,'Footer 22,"'© 2024 American Medical Association. All rights reserved.",'244,'87.01171875
'24,'Text 191,"'eFigure 2. Trial Profile of the Dose-Ranging Phase 2b Substudy",'245,'72.50976563
'24,'Figure 2,"",'246,'96.19140625
'24,'Text 192,"'The primary analysis populations for the phase 2b substudy included all randomized patients who received at least one dose of study drug during the 12-week, double-blind, dose-ranging substudy.",'247,'93.06640625
'24,'Text 193,"'Patients who attained a clinical response at week 12 of phase 2b open-label induction treatment were randomized into the maintenance study, and patients with clinical response to 12-week risankizumab IV therapy were included in the primary efficacy analysis.",'248,'89.89257813
'24,'Text 194,"'aFailed to meet inclusion criteria or met exclusion criteria. IV, intravenous.",'249,'35.76660156
'24,'Footer 23,"'© 2024 American Medical Association. All rights reserved.",'250,'70.41015625
'25,'Title 3,"'eFigure 3. Key Clinical and Endoscopic Endpoints and Inflammatory Biomarkers for the Dose-Ranging",'251,'41.57714844
'25,'Text 195,"'Phase 2b Substudy",'252,'59.37500000
'25,'Figure 3,"",'253,'41.47949219
'25,'Footer 24,"'© 2024 American Medical Association. All rights reserved.",'254,'77.19726563
'26,'Text 196,"'For eFigure 3A-C and E-F, all data shown is at week 12 of induction, with adjusted treatment differences versus placebo (90% CI) denoted by the deltas shown above treatment groups. For eFigures 3G and 3H, data shown is LS mean change from baseline. Analysis was based on the CMH test stratified by baseline corticosteroid use (yes, no) and baseline Adapted Mayo score (≤ 7, > 7). Significance was determined using Chi-square test or Fisher's exact test if ≥ 20% of the cells have expected cell count < 5. 90% confidence intervals for risk difference were calculated based on normal approximation using PROC FREQ. + P≤. 1; P ≤ .05; ** P ≤ .01; *** .001 versus placebo. For eFigure 3D, P ≤ .05 RZB 1800 mg VS. PBO at week 4; P ≤ 01 RZB 1200 mg VS. PBO at week 4; P ≤ .001 RZB 1200 mg VS. PBO at week 8; ### P ≤ .001 RZB 1800 mg VS. PBO at week 8; .01 RZB 600 mg VS. PBO at week 12; *** P ≤ .001 RZB 1200 mg VS. PBO at week 12; ### P≤.001 RZB 1800 mg VS. PBO at week 12; eFigure 3G, + P≤.1 RZB 1800 mg vs. PBO at week 4; P ≤ ≤ .05 RZB 600 mg VS. PBO at week 8; *** P ≤ .001 RZB 1200 mg VS. PBO at week 8; ### P ≤ .001 RZB 1200 mg VS. PBO at week 8; # ≤ .05 RZB 1200 mg VS. PBO at week 12; P ≤ .05 RZB 1800 mg VS. PBO at week 12; eFigure 3H, + P≤.1 RZB 1800 mg vs. PBO at week 4; *P≤.1RZB 1800 mg VS. PBO at week 4; * .05 RZB 600 mg vs. PBO at week 4; .05 RZB 600 mg VS. PBO at week 4; *P≤.1 RZB 1200 mg VS. PBO at week 4; *P≤.1 RZB 1800 mg VS. PBO at week 4; P ≤ .05 RZB 600 mg VS. PBO at week 12; P .05 RZB 1200 mg VS. PBO at week 12; eFigure 3I, *** P ≤ .001 RZB 1200 mg VS. baseline at week 4; ### P ≤ .001 RZB 1800 mg VS. baseline at week 4; ** P≤ .05 RZB 600 mg vs. baseline at week 12; *** P .001 RZB 1200 mg VS. baseline at week 12; ### P ≤ .001 RZB 1800 mg VS. baseline at week 12. CI, confidence intervals; CMH, Cochran-Mantel-Haenszel IV, intravenous. LS, least-square.",'255,'93.70117188
'26,'Footer 25,"'© 2024 American Medical Association. All rights reserved.",'256,'83.34960938
'27,'Header 1,"'eFigure 4. Graphical Multiple-Testing Procedure for the Phase 3 Induction Study",'257,'55.27343750
'27,'Text 197,"'Clinical remission per Adapted Mayo score at Week 12 (Alpha = 0.05000)",'258,'83.05664063
'27,'Figure 4,"",'259,'43.21289063
'27,'Text 198,"'1-10ε",'260,'39.47753906
'27,'Text 199,"'Clinical response per Adapted Mayo score at Week 12",'261,'89.89257813
'27,'Figure 5,"",'262,'84.96093750
'27,'Text 200,"'Endoscopic improvement at Week 12",'263,'96.63085938
'27,'Text 201,"'ε",'264,'96.19140625
'27,'Figure 6,"",'265,'27.36816406
'27,'Figure 7,"",'266,'90.91796875
'27,'Text 202,"'Histological-endoscopic mucosal improvement at Week 12",'267,'95.80078125
'27,'Text 203,"'ε",'268,'94.28710938
'27,'Figure 8,"",'269,'90.72265625
'27,'Text 204,"'Endoscopic remission at Week 12",'270,'95.80078125
'27,'Text 205,"'ε",'271,'61.03515625
'27,'Figure 9,"",'272,'89.01367188
'27,'Text 206,"'Clinical response per Partial Adapted Mayo score at Week 4",'273,'95.70312500
'27,'Text 207,"'ε",'274,'92.33398438
'27,'Figure 10,"",'275,'66.21093750
'27,'Text 208,"'No bowel urgency at Week 12",'276,'93.65234375
'27,'Text 209,"'ε",'277,'96.19140625
'27,'Figure 11,"",'278,'93.11523438
'27,'Text 210,"'No abdominal pain at Week 12",'279,'93.21289063
'27,'Text 211,"'ε",'280,'94.67773438
'27,'Figure 12,"",'281,'90.96679688
'27,'Text 212,"'ε",'282,'90.38085938
'27,'Text 213,"'Histological-endoscopic mucosal remission at Week 12",'283,'94.58007813
'27,'Figure 13,"",'284,'94.48242188
'27,'Text 214,"'ε",'285,'87.98828125
'27,'Text 215,"'Change from baseline in FACIT-Fatigue at Week 12",'286,'94.53125000
'27,'Figure 14,"",'287,'37.47558594
'27,'Figure 15,"",'288,'87.84179688
'27,'Text 216,"'ε",'289,'86.32812500
'27,'Text 217,"'Change from baseline in IBDQ total score at Week 12",'290,'91.89453125
'27,'Figure 16,"",'291,'38.50097656
'27,'Figure 17,"",'292,'77.09960938
'27,'Text 218,"'UC-related hospitalizations through Week 12 No nocturnal bowel movements at Week 12 No tenesmus at Week12 Change from baseline in number of fecal incontinence episodes per week at Week 12 Change from baseline in number of days per week with sleep interrupted due to UC symptoms",'293,'90.47851563
'27,'Text 219,"'ε",'294,'82.71484375
'27,'Text 220,"'Holm Procedure",'295,'83.54492188
'27,'Footer 26,"'© 2024 American Medical Association. All rights reserved.",'296,'81.29882813
'28,'Text 221,"'Weight ε denotes 0.02% of the overall significance level (corresponding to a of 0.02%*0.05=of 0.00001). FACIT-F, Functional Assessment of Chronic Illness Therapy-Fatigue; IBDQ, Inflammatory Bowel Disease Questionnaire; IV, intravenous; Q8, every 8 weeks; SC, subcutaneous; UC, ulcerative colitis",'297,'42.33398438
'28,'Footer 27,"'© 2024 American Medical Association. All rights reserved.",'298,'85.20507813
'29,'Title 4,"'eFigure 5. Graphical Multiple-Testing Procedure For the Phase 3 Maintenance Study",'299,'45.99609375
'29,'Figure 18,"",'300,'95.65429688
'29,'Text 222,"'Weight ε denotes 0.04% of the overall significance level that each dose starts with (corresponding to a of 0.04%*0.025=0.00001).",'301,'89.20898438
'29,'Text 223,"'FACIT-F, Functional Assessment of Chronic Illness Therapy-Fatigue; IBDQ, Inflammatory Bowel Disease Questionnaire; IV, intravenous; Q8, every 8 weeks; SC, subcutaneous; UC, ulcerative colitis",'302,'74.21875000
'29,'Footer 28,"'© 2024 American Medical Association. All rights reserved.",'303,'92.43164063
'30,'Text 224,"'For each study, the subgroup analyses were conducted for prespecified subgroups for the primary efficacy endpoint. No post hoc subgroups are shown. Point estimate and 95% CI for treatment difference between each risankizumab group and placebo group were calculated using normal approximation to the binomial distribution. 95% CI for difference were calculated using normal approximation to the binomial distribution. The calculations were based on NRI incorporating multiple imputation to handle missing data due to logistic restrictions (COVID-19 or the geopolitical conflict in Ukraine and surrounding impacted regions) or NRI only if there were no missing data due to logistic restrictions (COVID-19 or the geopolitical conflict in Ukraine and surrounding impacted regions). If any of the resulting subgroups except for age, sex and race had fewer than 10% of the planned study size, the subgroup analyses for that category were not presented. Type I error was not controlled in this analysis. CI, confidence interval; COVID-19, coronavirus disease 2019.",'304,'96.24023438
'30,'Text 225,"'IV, intravenous; IR, inadequate response, TNF, tumor necrosis factor; SC, subcutaneous; UC, ulcerative colitis; hs-CRP, high sensitivity C-reactive protein.",'305,'84.32617188
'30,'Footer 29,"'© 2024 American Medical Association. All rights reserved.",'306,'84.81445313
'31,'Text 226,"'eFigure 7. Percent of Patients Who Achieved Histologic Remission at Week 12 of Induction and Week 52 of",'307,'35.18066406
'31,'Title 5,"'Maintenance",'308,'33.20312500
'31,'Figure 19,"",'309,'88.81835938
'31,'Text 227,"'Histologic remission was defined as Geboes score of < 2.0. 95% Cls for the response rates were the synthetic result based on Student's t-distribution from PROC MIANALYZE procedure if there were missing data due to logistic restrictions (COVID-19 or geopolitical restrictions) or is based on the normal approximation to the binomial distribution. Significance was calculated according to the CMH test adjusted for strata for the comparison of treatment groups. Adjusted risk difference and 95% CI for adjusted difference were calculated based on Mantel-Haenszel common rate difference. 95% Cls for difference were calculated using normal approximation to the binomial distribution. * P ≤ .05; *** P ≤ .001 versus placebo IV or versus placebo (withdrawal) SC.",'310,'97.70507813
'31,'Text 228,"'CMH, Cochran-Mantel-Haenszel; CI, confidence interval; COVID-19, coronavirus disease 2019; IV, intravenous; SC, subcutaneous.",'311,'84.71679688
'31,'Footer 30,"'© 2024 American Medical Association. All rights reserved.",'312,'93.16406250
'32,'Text 229,"'eFigure 8. Percent of Patients that Achieved Clinical Response per Partial Adapted Mayo Score Through Week",'313,'49.21875000
'32,'Text 230,"'12 of INSPIRE",'314,'45.80078125
'32,'Figure 20,"",'315,'86.32812500
'32,'Text 231,"'95% Cls for response rates were the synthetic result based on Student's t-distribution from PROC MIANALYZE procedure if there were missing data due to logistic restrictions (COVID-19 or geopolitical restrictions). P value was calculated according to the CMH test adjusted for strata. Within each stratum, 95% CI for difference were calculated using normal approximation to the binomial distribution. The calculations were based on nonresponder imputation incorporating multiple imputation to handle missing data due to logistic restrictions. *** P ≤ .001 versus placebo IV.",'316,'95.50781250
'32,'Text 232,"'CMH, Cochran-Mantel-Haenszel COVID-19, coronavirus disease 2019; IV, intravenous.",'317,'74.85351563
'32,'Footer 31,"'© 2024 American Medical Association. All rights reserved.",'318,'90.38085938
'33,'Header 2,"'eFigure 9. Patient-Reported Outcomes Among Patients Who Reported Having Symptoms at Baseline of Phase",'319,'34.32617188
'33,'Text 233,"'3 Induction",'320,'49.51171875
'33,'Text 234,"'A)",'321,'99.26757813
'33,'Figure 21,"",'322,'87.79296875
'33,'Text 235,"'Week 12 of Induction",'323,'26.73339844
'33,'Figure 22,"",'324,'93.11523438
'33,'Footer 32,"'© 2024 American Medical Association. All rights reserved.",'325,'68.01757813
'34,'Text 236,"'95% Cls for response rate were the synthetic result based on Student's t-distribution from PROC MIANALYZE procedure if there were missing data due to logistic restrictions (COVID-19 or the geopolitical conflict in Ukraine and surrounding impacted regions), with all calculations performed among patients that reported having bowel urgency, abdominal pain, tenesmus, or nocturnal bowel movements at baseline of phase 3 induction (for baseline values for these endpoints, see eTable 3). Across the strata, statistical significance was calculated according to the Cochran-Mantel-Haenszel test. Adjusted risk difference and 95% CI were calculated based on Mantel-Haenszel common rate difference. The calculations were based on nonresponder imputation incorporating multiple imputation to handle missing data due to logistic restrictions (COVID-19 or the geopolitical conflict in Ukraine and surrounding impacted regions). * P ≤ .05; ** ≤ .01; *** P ≤ .001 versus placebo or placebo (withdrawal).",'326,'96.63085938
'34,'Text 237,"'CMH, Cochran-Mantel-Haenszel; COVID-19, coronavirus disease 2019; CI, confidence interval; IV, intravenous; MMRM, mixed-effect model repeated measures; SC, subcutaneous.",'327,'70.50781250
'34,'Footer 33,"'© 2024 American Medical Association. All rights reserved.",'328,'84.42382813
'35,'Title 6,"'eFigure 10. Discontinuation of Corticosteroids at Week 52 of Maintenance Among Patients Taking",'329,'39.42871094
'35,'Text 238,"'Corticosteroids at Baseline of Induction",'330,'55.17578125
'35,'Figure 23,"",'331,'88.86718750
'35,'Text 239,"'Shown is the achievement of the discontinuation of corticosteroids at week 52 for the entire 52-week",'332,'99.60937500
'35,'Text 240,"'maintenance period in patients taking corticosteroids at baseline of the induction study. Baseline refers to week",'333,'99.85351563
'35,'Text 241,"'0 of maintenance (week 12 or 24 of induction). 95% Cls for the response rates were based on the normal",'334,'99.85351563
'35,'Text 242,"'approximation to the binomial distribution. Significance was calculated according to the CMH test adjusted for",'335,'99.80468750
'35,'Text 243,"'stratification factors. Adjusted risk difference and 95% Cls were calculated based on Mantel-Haenszel common",'336,'99.80468750
'35,'Text 244,"'rate difference. * ≤ .05; *** P ≤ .001 versus placebo (withdrawal).",'337,'96.33789063
'35,'Text 245,"'CMH, Cochran-Mantel-Haenszel; CI, confidence interval; SC, subcutaneous.",'338,'99.80468750
'35,'Footer 34,"'© 2024 American Medical Association. All rights reserved.",'339,'90.47851563
'36,'Title 7,"'eFigure 11. Change From Baseline in Biomarkers During the Phase 3 Induction and Maintenance Studies",'340,'38.30566406
'36,'Text 246,"'Induction",'341,'30.44433594
'36,'Figure 24,"",'342,'66.79687500
'36,'Footer 35,"'© 2024 American Medical Association. All rights reserved.",'343,'57.47070313
'37,'Text 247,"'eFigure 11. Change From Baseline in Biomarkers During Phase 3 Induction and Maintenance Studies (continued)",'344,'35.13183594
'37,'Text 248,"'Maintenance",'345,'52.05078125
'37,'Figure 25,"",'346,'62.79296875
'37,'Text 249,"'Risankizumab 1200 mg IV/Placebo SC Risankizumab 1200 mg IV/Risankizumab 180 mg SC Risankizumab 1200 mg IV/Risankizumab 360 mg SC Placebo IV/Placebo SC",'347,'65.03906250
'37,'Text 250,"'The LS mean and 95% Cls for the synthetic results were based on MMRM, with week 0, treatment, visit, treatment-by-visit interaction, and stratification factors. Median change from baseline and 95% CI were based on nonparametric analysis. Nonparametric analysis was performed, with P values for the treatment comparisons of each risankizumab dose versus placebo provided based on the Wilcoxon Rank Sum test. C-reactive protein and fecal calprotectin values were considered as observed before censoring. Week 0 was the last nonmissing measurement before the first dose of study drug in maintenance. Patients with only nonmissing change from week 0 values were included in this analysis. For eFigures 11A-D, *** P ≤ .001 RZB 1200 mg VS. PBO; eFigure 11E, * P ≤ .05 RZB 180 mg VS. PBO (withdrawal) at week 52; ** P ≤ .01 RZB 180 mg or 360 mg vs. PBO (WD) at week 52; eFigure 11F, ** P≤.01 RZB 180 mg VS. PBO (WD) at week 24; * P ≤ .05 RZB 360 mg VS. PBO (WD) at week 24; *** P ≤ .001 RZB 180 or 360 mg VS. PBO (WD) at week 52; eFigure 11G, ** P .01 RZB 360 mg VS. baseline at week 52; figure H, * P ≤ .05 RZB 180 mg VS. PBO (withdrawal) at week 8; *** P≤.001 ≤ RZB 180 mg or 360 mg vs. PBO (WD) at week 52; eFigure 11I,*** P≤.001 VS. baseline for all groups except PBO IV/PBO SC. * P ≤ .05 RZB 360 mg VS. baseline at week 4. CI, confidence interval; IL-22, interleukin-22; IV, intravenous; least square; MMRM, mixed-effect model repeated measures; RTB-MI; return-to-baseline multiple imputation; RZB, risankizumab; SC, subcutaneous.",'348,'87.64648438
